id,title,authors,year,venue,url,doi,tags,status,relevance,notes
sun2025bcf,Prove It to the Kernel: Precise Extension Analysis via Proof-Guided Abstraction Refinement,"Hao Sun; Zhendong Su",2025,SOSP,https://doi.org/10.1145/3731569.3764796,10.1145/3731569.3764796,"eBPF; verifier; proof; abstraction refinement; security",Verified primary source,9.5,"Directly supersedes the repository's generic dynamic/incremental-verification gap."
sun2025aee,Approximation Enforced Execution of Untrusted Linux Kernel Extensions,"Hao Sun; Zhendong Su",2025,USENIX Security,https://www.usenix.org/conference/usenixsecurity25/presentation/sun-hao,,"eBPF; SFI; verifier; runtime enforcement",Verified primary source,9.5,"Strong baseline against generic verifier-independent isolation proposals."
lyu2025veritas,eBPF Misbehavior Detection: Fuzzing with a Specification-Based Oracle,"Tao Lyu; Kumar Kartikeya Dwivedi; Thomas Bourgeat; Mathias Payer; Meng Xu; Sanidhya Kashyap",2025,SOSP,https://doi.org/10.1145/3731569.3764797,10.1145/3731569.3764797,"eBPF; verifier; fuzzing; specification oracle",Verified primary source,9.0,"Important baseline for verifier testing."
patel2026krakenguard,KRAKENGUARD: Towards Fine-Grained eBPF Isolation,"Jainil Patel; Lucas Graeff Buhl-Nielsen; Adrien Ghosn; Marios Kogias",2026,NSDI,https://www.usenix.org/conference/nsdi26/presentation/patel,,"eBPF; isolation; multi-tenant; symbolic execution; XDP",Verified primary source,10.0,"Primary 2026 baseline. Explicit scalability limitation is the strongest current gap candidate."
zhang2026vbpf,Virtualizing eBPF with Late-Binding,"Jing Zhang; Xiaguannan Song; Dong Du; Yubin Xia; Binyu Zang; Haibo Chen",2026,OSDI,https://www.usenix.org/conference/osdi26/presentation/zhang-jing,,"eBPF; virtualization; multi-tenant; state isolation",Verified primary source,10.0,"Makes generic BPF namespace/virtualization proposals substantially less novel."
carin2026peer,PeeR: First-Class Scheduling for Latency-Critical eBPF Applications,"Jeremy Carin; Ben Holmes; Weiyang Wang; Ankit Bhardwaj; Manya Ghobadi",2026,OSDI,https://www.usenix.org/conference/osdi26/presentation/carin,,"eBPF; scheduling; resource isolation; multi-tenant",Verified primary source,9.0,"Important baseline for execution/resource isolation."
bpf-token,BPF Token,Linux kernel maintainers,2024+,Linux kernel,https://docs.kernel.org/userspace-api/ebpf/syscall.html,,"eBPF; capabilities; delegation; user namespaces; BPF FS",Verified official kernel documentation,9.0,"Upstream feature changes the delegation/namespace threat model."
seabee,SeaBee: Security Enhanced Architecture for eBPF,National Security Agency,2025-2026,Open source,https://github.com/NationalSecurityAgency/seabee,,"eBPF; BPF-LSM; policy; privileged attacker; signed updates",Verified official implementation,8.5,"Relevant to policy tampering and object isolation."
epass,ePass: Verifier-Cooperative Runtime Enforcement for eBPF,eBPF Foundation / University of Michigan,2025-2026,Research project,https://ebpf.foundation/research-update-verifier-cooperative-runtime-enforcement-for-ebpf/,,"eBPF; verifier; runtime enforcement; transformation",Verified research-project source,8.5,"Active research; not treated as peer-reviewed publication evidence."
verifier-cve-2026-63864,CVE-2026-63864: bpf: Propagate error from visit_tailcall_insn,Linux kernel CVE team,2026,Linux CVE announcement,https://lists.openwall.net/linux-cve-announce/2026/07/19/109,,"eBPF; verifier; CVE; kernel security",Verified official advisory,7.5,"Evidence that verifier security remains an active operational problem; not a thesis direction by itself."
